sku,alchool,alt_image,animal,area,australian_like,awards,blended_grapes,bottleml,box_size,cellar_practice,country_of_manufacture,cost,custom_block,custom_label,filtration,florealnew,fruit,international_awards,is_featured,kind,kind_byo_organic,main_grape,manufacturer,method,mineral,myob_btb,myob_btc_h,oak1,pairing,price,product_name,region,second_fermentation,sparkling_residual_sugar,spontaneous_fermentation1,skin_contact,sku_short,spice,stripe_sub_enabled,sw_featured,tastingnotes,vegetal,vineyard_management,Vntg,wild_ferment,wine_producer
GRAANF17,"area=Bologna,bottleml=750,box_size=12,cellar_practice=Amphora|No added S02|Skin contact|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Grechetto Gentile,manufacturer=Gradizzolo,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,skin_contact=No,sku_short=GRAANF,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Biodynamic,Vntg=2017,wine_producer=Gradizzolo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAEROSS18,"area=Modena,bottleml=750,box_size=12,cellar_practice=No added S02|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Salamino,manufacturer=Luciano Saetti,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,skin_contact=No,sku_short=SAEROSS,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2018,wine_producer=Luciano Saetti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALGRO15,"area=Modena,bottleml=750,box_size=6,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Sorbara,manufacturer=Paltrinieri,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,second_fermentation=Bottle (Metodo Classico)|24 months on lees,skin_contact=No,sku_short=PALGRO,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2015,wine_producer=Paltrinieri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDVLAM19,"bottleml=750,box_size=12,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Maestri,manufacturer=Monte delle Vigne,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,second_fermentation=Tank (Metodo Martinotti),skin_contact=No,sku_short=MDVLAM,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2019,wine_producer=Monte delle Vigne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDVSAL13,"alt_image=/m/o/monte_delle_vigne_i_salici_mdvsal13.png,bottleml=750,box_size=6,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Maestri,manufacturer=Monte delle Vigne,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,second_fermentation=Undisgorged (Metodo Ancestrale),skin_contact=No,sku_short=MDVSAL,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2013,wine_producer=Monte delle Vigne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMTRAIC16,"alt_image=/p/o/poderi_morini_traicolli_pmtraic16.png,area=Faenza,bottleml=750,box_size=6,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Centesimino,manufacturer=Poderi Morini,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,skin_contact=No,sku_short=PMTRAIC,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2016,wine_producer=Poderi Morini",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBVEN19,"alt_image=/v/b/vbven19_venturini_baldini_caldelvento.jpg,blended_grapes=Grasparossa,bottleml=750,box_size=12,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Sorbara,manufacturer=Venturini Baldini,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,second_fermentation=Tank (Metodo Martinotti),skin_contact=No,sku_short=VBVEN,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2019,wine_producer=Venturini Baldini",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBCER19,"alt_image=/v/e/venturini_baldini_rubino_del_cerro_vbcer19.jpg,blended_grapes=Grasparossa|Salamino,bottleml=750,box_size=12,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Montericco,manufacturer=Venturini Baldini,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,second_fermentation=Tank (Metodo Martinotti),skin_contact=No,sku_short=VBCER,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2019,wine_producer=Venturini Baldini",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUDEFR19,"alt_image=/q/u/quarticello_despina_qudefr19.png,area=Reggio Emilia,bottleml=750,box_size=12,cellar_practice=Minimum S02|Unfiltered|Wild ferment,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Malvasia di Candia Aromatica,manufacturer=Quarticello,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,second_fermentation=Undisgorged (Metodo Ancestrale),skin_contact=No,sku_short=QUADES,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2019,wine_producer=Quarticello",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUAMOL20,"alt_image=/q/u/quamol20_quarticello_le_mole.png,area=Reggio Emilia,bottleml=750,box_size=12,cellar_practice=Minimum S02|Skin contact|Unfiltered|Wild ferment,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Malvasia di Candia Aromatica,manufacturer=Quarticello,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,skin_contact=No,sku_short=QUAMOL,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2017,wine_producer=Quarticello",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUACAS16,"alt_image=/q/u/quarticello_cascinaronchi_qucas16.jpg,area=Reggio Emilia,bottleml=750,box_size=6,cellar_practice=Minimum S02,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Spergola,manufacturer=Quarticello,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,second_fermentation=Bottle (Metodo Classico),skin_contact=No,sku_short=QUACAS,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2016,wine_producer=Quarticello",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTRIO18,"area=Colli Piacentini,blended_grapes=Ortrugo|Sauvignon|Trebbiano,bottleml=750,box_size=12,cellar_practice=Minimum S02|Unwooded,filtration=Yes,fruit=5,kind_byo_organic=Organic Wine,main_grape=Malvasia di Candia Aromatica,manufacturer=La Tosa,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,skin_contact=No,sku_short=LTRIO,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2018,wine_producer=La Tosa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTSOR19,"area=Colli Piacentini,bottleml=750,box_size=6,cellar_practice=Minimum S02|Unwooded,filtration=Yes,fruit=5,kind_byo_organic=Organic Wine,main_grape=Malvasia di Candia Aromatica,manufacturer=La Tosa,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,skin_contact=No,sku_short=LTSOR,spontaneous_fermentation1=No,stripe_sub_enabled=No,vineyard_management=Organic,Vntg=2019,wine_producer=La Tosa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTVMOR18,"area=Colli Piacentini,blended_grapes=Bonarda,bottleml=750,box_size=6,cellar_practice=Barrel aged|Barrel fermented|Minimum S02|Unfiltered,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Barbera,manufacturer=La Tosa,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,skin_contact=No,sku_short=LTVMOR,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2018,wine_producer=La Tosa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRAVELCLA15,"alt_image=/p/r/pravelcla15_podere_pradarolo_velius_metodo_classico.jpg,area=Parma,bottleml=750,box_size=6,cellar_practice=No added S02|Unwooded,filtration=No,fruit=5,kind_byo_organic=Natural Wine,main_grape=Barbera,manufacturer=Podere Pradarolo,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,second_fermentation=Bottle (Metodo Classico),skin_contact=No,sku_short=PRAVELCLA,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2015,wine_producer=Podere Pradarolo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRAROS13,"alt_image=/p/r/praros13_podere_pradarolo_velius_rosso_asciutto_1.jpg,area=Parma,bottleml=750,box_size=6,cellar_practice=Barrel aged|Concrete|No added S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Barbera,manufacturer=Podere Pradarolo,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,skin_contact=No,sku_short=PRAROS,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2013,wine_producer=Podere Pradarolo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRALIEB13,"alt_image=/p/o/podere_pradarolo_liebens_pralieb13.png,area=Parma,bottleml=750,box_size=6,cellar_practice=Barrel aged|Barrel fermented|No added S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Croatina,manufacturer=Podere Pradarolo,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,skin_contact=No,sku_short=PRALIEB,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2013,wine_producer=Podere Pradarolo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRACIO0716,"area=Parma,bottleml=500,box_size=6,cellar_practice=No added S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Termarina Rosa,manufacturer=Podere Pradarolo,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,skin_contact=No,sku_short=PRACIO,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2016,wine_producer=Podere Pradarolo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRACICA19,"alt_image=/p/o/podere_pradarolo_frinire_di_cicale_edited-pixlr_.png,area=Parma,bottleml=500,box_size=6,cellar_practice=No added S02|Skin contact|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Malvasia di Candia Aromatica,manufacturer=Podere Pradarolo,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Emilia-Romagna,skin_contact=No,sku_short=PRACICA,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2019,wine_producer=Podere Pradarolo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRBER19,"alt_image=/f/a/fattoria_la_striscia_chianti_bernardino.png,area=Colli Aretini,blended_grapes=Canaiolo|Ciliegiolo|Merlot|Other grapes,bottleml=750,box_size=12,cellar_practice=Concrete|Minimum S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Sangiovese,manufacturer=Fattoria La Striscia,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Toscana,skin_contact=No,sku_short=STRBER,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2019,wine_producer=Fattoria La Striscia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALVER20,"area=Colli Senesi,bottleml=750,box_size=12,cellar_practice=Minimum S02|Unwooded,filtration=Yes,fruit=5,kind_byo_organic=Organic Wine,main_grape=Vernaccia di San Gimignano,manufacturer=Il Palagione,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Toscana,skin_contact=No,sku_short=PALVER,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2020,wine_producer=Il Palagione",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJTOS15,"alt_image=/m/a/majnoni_guicciardini_tintero_majtos15.png,blended_grapes=Ciliegiolo|Dolcetto|Malvasia Nera,bottleml=1000,box_size=6,cellar_practice=Concrete|Minimum S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Sangiovese,manufacturer=Majnoni Guicciardini,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Toscana,skin_contact=No,sku_short=MAJTOS,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2015,wine_producer=Majnoni Guicciardini",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POSROS18,"alt_image=/p/o/poderi_sanguineto_rosso_di_montepulciano_posros18.jpg,area=Montepulciano Siena,blended_grapes=Canaiolo Nero|Mammolo,bottleml=750,box_size=12,cellar_practice=Barrel aged|Minimum S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Sangiovese,manufacturer=Poderi Sanguineto,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Toscana,skin_contact=No,sku_short=POSROS,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2018,wine_producer=Poderi Sanguineto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORROS15,"alt_image=/p/o/podere_le_ripi_sogni_e_follia_rosso_posros15.png,area=Montalcino,bottleml=750,box_size=6,cellar_practice=Barrel aged|Barrel fermented|Minimum S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Biodynamic Wine,main_grape=Sangiovese,manufacturer=Podere Le Ripi,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Toscana,skin_contact=No,sku_short=PORROS,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Biodynamic,Vntg=2015,wine_producer=Podere Le Ripi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANLAC18,"alt_image=/s/t/stefano_mancinelli_lacrima_di_morro_dalba_superiore_manlac18.png,bottleml=750,box_size=12,cellar_practice=Conventional,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Lacrima,manufacturer=Stefano Mancinelli,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Marche,skin_contact=No,sku_short=MANLAC,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Sustainable,Vntg=2018,wine_producer=Stefano Mancinelli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIOPEC19,"area=Offida Ascoli,bottleml=750,box_size=12,cellar_practice=Minimum S02|Unwooded,filtration=No,fruit=1,kind_byo_organic=Organic Wine,main_grape=Pecorino,manufacturer=Fiorano,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Marche,skin_contact=No,sku_short=FIOPEC,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2019,wine_producer=Fiorano",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIOPEC18,"alt_image=/f/i/fiorano_pecorino_fiopec18.png,area=Offida Ascoli,bottleml=750,box_size=12,cellar_practice=Minimum S02|Unwooded,filtration=No,fruit=1,kind_byo_organic=Organic Wine,main_grape=Pecorino,manufacturer=Fiorano,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Marche,skin_contact=No,sku_short=FIOPEC,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2018,wine_producer=Fiorano",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSLPAR12,"area=Castelli di Jesi,bottleml=750,box_size=6,cellar_practice=Barrel aged|Minimum S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Biodynamic Wine,main_grape=Lacrima,manufacturer=Fattoria San Lorenzo,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Marche,skin_contact=No,sku_short=FSLPAR,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Biodynamic,Vntg=2012,wine_producer=Fattoria San Lorenzo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSLSSANROS06,"area=Castelli di Jesi,bottleml=700,box_size=6,cellar_practice=Barrel aged|Minimum S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Biodynamic Wine,main_grape=Indigenous Red Variety,manufacturer=Fattoria San Lorenzo,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Marche,skin_contact=No,sku_short=FSLSSANR,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2006,wine_producer=Fattoria San Lorenzo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FONGRE19,"alt_image=/f/o/fongre19_fongoli_grechetto_la_palmetta.jpeg,area=Montefalco,bottleml=750,box_size=12,cellar_practice=No added S02|Skin contact|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Grechetto,manufacturer=Fongoli,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Umbria,skin_contact=No,sku_short=FONGRE,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2019,wine_producer=Fongoli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FONBIC15-12,"area=Montefalco,blended_grapes=Montepulciano|Sangiovese,bottleml=750,box_size=12,cellar_practice=Barrel aged|No added S02|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Sagrantino,manufacturer=Fongoli,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Umbria,skin_contact=No,sku_short=FONBIC,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2015,wine_producer=Fongoli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FONSAG13,"area=Montefalco,bottleml=750,box_size=6,cellar_practice=Barrel aged|Barrel fermented|Minimum S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Sagrantino,manufacturer=Fongoli,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Umbria,skin_contact=No,sku_short=FONSAG,spontaneous_fermentation1=No,stripe_sub_enabled=No,vineyard_management=Organic,Vntg=2013,wine_producer=Fongoli",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECER19,"alt_image=/d/e/decer19_de_fermo_cerasuolo_lecince.png,area=Loreto Aprutino Pescara,bottleml=750,box_size=6,cellar_practice=Minimum S02|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Biodynamic Wine,main_grape=Montepulciano,manufacturer=De Fermo,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Abruzzo,skin_contact=No,sku_short=DECER,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Biodynamic,Vntg=2019,wine_producer=De Fermo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEMONT16,"area=Loreto Aprutino Pescara,bottleml=750,box_size=6,cellar_practice=Barrel aged|Barrel fermented|Minimum S02|Unfiltered|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Biodynamic Wine,main_grape=Montepulciano,manufacturer=De Fermo,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Abruzzo,skin_contact=No,sku_short=DEMONT,spontaneous_fermentation1=No,stripe_sub_enabled=No,vineyard_management=Biodynamic,Vntg=2016,wine_producer=De Fermo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIOBIA17,"area=Olevano Romano Colli Romani,bottleml=750,box_size=6,cellar_practice=Minimum S02|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Malvasia Puntinata,manufacturer=Gioacchino Milana,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Lazio,skin_contact=No,sku_short=GIOBIA,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2017,wine_producer=Gioacchino Milana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIOCES16,"alt_image=/g/i/gioacchino_milana_0911_cesanese_gioces16.jpg,area=Olevano Romano Colli Romani,bottleml=750,box_size=6,cellar_practice=Minimum S02|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Cesanese,manufacturer=Gioacchino Milana,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Lazio,skin_contact=No,sku_short=GIOCES,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2016,wine_producer=Gioacchino Milana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGGRE16,"area=Irpinia,bottleml=750,box_size=6,cellar_practice=Minimum S02|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Greco,manufacturer=Dell'Angelo,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Campania,skin_contact=No,sku_short=ANGGRE,spontaneous_fermentation1=No,stripe_sub_enabled=No,vineyard_management=Organic,Vntg=2016,wine_producer=Dell'Angelo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGGRE17,"alt_image=/d/e/dell_angelo_greco_di_tufo_angre16.png,area=Irpinia,bottleml=750,box_size=6,cellar_practice=Minimum S02|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Greco,manufacturer=Dell'Angelo,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Campania,skin_contact=No,sku_short=ANGGRE,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2017,wine_producer=Dell'Angelo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGGRE18,"alt_image=/d/e/dell_angelo_greco_di_tufo_angre16_1.png,area=Irpinia,bottleml=750,box_size=6,cellar_practice=Minimum S02|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Greco,manufacturer=Dell'Angelo,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Campania,skin_contact=No,sku_short=ANGGRE,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2018,wine_producer=Dell'Angelo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARFIA18,"area=Irpinia,bottleml=750,box_size=12,cellar_practice=Minimum S02|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Fiano,manufacturer=Cantina del Barone,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Campania,skin_contact=No,sku_short=BARFIA,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2018,wine_producer=Cantina del Barone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FONAGL15,"area=Irpinia,bottleml=750,box_size=12,cellar_practice=Barrel aged|Conventional|Minimum S02|Wild ferment,filtration=Yes,fruit=5,kind_byo_organic=Conventional Wine,main_grape=Aglianico,manufacturer=Fontanavecchia,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Campania,skin_contact=No,sku_short=FONAGL,spontaneous_fermentation1=No,stripe_sub_enabled=No,vineyard_management=Sustainable,Vntg=2015,wine_producer=Fontanavecchia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANAGL18,"area=Taburnio Sannio,bottleml=750,box_size=12,cellar_practice=Minimum S02|Unfiltered|Unwooded|Wild ferment,filtration=No,fruit=5,kind_byo_organic=Organic Wine,main_grape=Aglianico,manufacturer=Il Cancelliere,mayob_btb=43340,mineral=1,myob_btc_h=43350,oak1=No,pairing=Poultry,region=Campania,skin_contact=No,sku_short=CANAGL,spontaneous_fermentation1=No,stripe_sub_enabled=No,sw_featured=No,vineyard_management=Organic,Vntg=2018,wine_producer=Il Cancelliere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
